year,patent_count
1617,5
1618,5
1619,5
1620,3
1621,2
1622,4
1623,4
1624,4
1625,3
1626,3
1627,6
1628,3
1629,4
1630,5
1631,2
1632,6
1633,4
1634,11
1635,11
1636,10
1637,15
1638,8
1639,1
1640,3
1642,1
1660,4
1661,4
1662,6
1663,2
1664,4
1665,2
1666,1
1667,5
1668,3
1670,3
1671,4
1672,3
1673,4
1674,5
1675,11
1676,4
1677,7
1678,7
1679,3
1680,1
1681,5
1682,8
1683,7
1684,13
1685,5
1686,3
1687,6
1688,4
1689,1
1690,3
1691,20
1692,25
1693,19
1694,9
1695,8
1696,3
1697,3
1698,7
1699,5
1700,2
1701,1
1702,1
1703,1
1704,4
1705,1
1706,5
1707,2
1708,2
1709,3
1711,3
1712,3
1713,2
1714,3
1715,4
1716,9
1717,6
1718,6
1719,2
1720,7
1721,8
1722,13
1723,7
1724,14
1725,9
1726,5
1727,7
1728,11
1729,8
1730,12
1731,10
1732,3
1733,5
1734,8
1735,1
1736,5
1737,4
1738,6
1739,3
1740,4
1741,8
1742,6
1743,7
1744,17
1745,4
1746,4
1747,8
1748,11
1749,13
1750,7
1751,8
1752,7
1753,13
1754,9
1755,12
1756,3
1757,9
1758,14
1759,10
1760,14
1761,9
1762,17
1763,20
1764,18
1765,14
1766,31
1767,23
1768,23
1769,36
1770,30
1771,22
1772,29
1773,29
1774,35
1775,20
1776,29
1777,33
1778,30
1779,37
1780,33
1781,33
1782,39
1783,64
1784,46
1785,61
1786,59
1787,54
1788,42
1789,44
1790,68
1791,57
1792,85
1793,43
1794,55
1795,51
1796,75
1797,54
1798,77
1799,82
1800,94
1801,104
1802,108
1803,70
1804,59
1805,96
1806,106
1807,86
1808,95
1809,101
1810,109
1811,116
1812,118
1813,142
1814,97
1815,102
1816,118
1817,104
1818,131
1819,101
1820,97
1821,108
1822,113
1823,139
1824,181
1825,247
1826,131
1827,150
1828,153
1829,129
1830,179
1831,147
1832,154
1833,172
1834,209
1835,230
1836,292
1837,256
1838,391
1839,411
1840,440
1841,441
1842,370
1843,416
1844,450
1845,567
1846,490
1847,488
1848,386
1849,509
1850,525
1851,454
1852,1675
1853,3037
1854,2748
1855,2956
1856,3101
1857,3196
1858,3003
1859,2999
1860,3194
1861,3271
1862,3489
1863,3305
1864,3260
1865,3384
1866,3453
1867,3723
1868,3991
1869,3783
1870,3405
1871,3529
1872,3970
1873,4278
1874,4490
1875,4560
1876,5068
1877,4946
1878,5341
1879,5331
1880,5515
1881,5750
1882,6240
1883,5991
1884,10011
1885,8794
1886,9134
1887,9520
1888,9850
1889,10681
1890,10615
1891,10946
1892,11620
1893,11801
1894,12069
1895,12369
1896,14183
1897,14468
1898,13451
1899,13532
